0.144	6.984
0.927	7.317
0.828	7.516
2.364	7.677
2.893	7.984
3.469	8.313
3.716	8.346
5.534	8.881
2.649	9.019
2.623	9.262
10.432	11.358
11.711	13.394
13.483	14.356
15.624	16.907
15.659	17.800
15.849	18.960
16.319	19.995
17.055	20.440
19.071	22.463
17.099	22.737
17.599	22.976
20.106	24.017
23.293	24.075
19.792	24.138
24.053	24.641
21.637	24.678
23.351	25.168
24.855	25.349
24.827	25.766
26.828	28.640
27.123	29.769
27.140	30.403
27.256	30.949
27.430	31.413
28.673	32.019
28.697	32.480
29.743	33.267
29.901	33.626
28.812	33.683
32.633	34.017
33.136	34.457
31.035	34.515
34.924	35.234
33.196	35.860
33.562	35.916
37.034	38.895
37.878	41.063
39.096	41.660
39.326	42.365
39.437	43.158
39.830	44.777
40.469	45.954
43.160	46.205
40.054	46.918
43.911	47.259
43.822	48.100
45.334	48.109
45.750	48.478
48.946	49.734
48.836	49.995
50.498	51.659
52.020	52.603
52.106	53.846
54.697	55.617
56.456	56.907
56.578	57.825
61.014	66.830
62.058	67.936
63.006	67.983
61.291	68.230
67.227	68.765
66.860	69.032
61.766	69.150
62.099	69.192
65.695	70.077
65.453	70.572
71.324	72.317
74.150	80.116
75.219	80.577
76.020	81.007
74.938	81.063
74.531	81.690
76.531	81.881
81.235	82.142
76.364	82.288
79.512	83.241
83.753	84.769
86.166	87.183
87.795	89.864
88.965	90.210
90.220	90.760
