0.412	9.030
2.648	10.051
2.367	10.573
6.753	10.900
8.266	11.728
10.618	12.732
9.912	12.941
7.569	14.632
7.495	15.304
15.811	22.857
29.807	37.306
33.459	41.852
38.522	44.209
44.740	52.150
44.640	53.105
48.727	53.352
45.283	53.415
46.625	54.420
54.489	57.497
50.283	58.258
48.854	59.305
56.549	62.020
57.446	62.207
61.820	67.260
66.552	69.370
66.717	72.478
68.724	73.081
71.014	74.415
70.933	75.015
77.543	84.253
77.874	84.349
78.371	84.623
77.495	85.543
81.992	85.592
81.923	85.891
76.653	86.544
84.979	87.281
82.321	87.872
85.432	88.255
88.671	98.420
